% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 MOhm impedance, 50 x probe attenuation
% Channel B (Input 2), DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 84.39 ms, time offset -3.740 ms, Precision acquisition mode, 40 averages
% Edge trigger: Channel B, level 427.0 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2024-11-14 T 17:34:30 +0100
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-3.845932800000e-02, -2.821436e-02, -3.341169e-02
-3.837353600000e-02, -3.471604e-02, -3.332864e-02
-3.828774400000e-02, -3.794154e-02, -3.329157e-02
-3.820195200000e-02, -3.985594e-02, -3.326316e-02
-3.811616000000e-02, -3.447631e-02, -3.350058e-02
-3.803036800000e-02, -3.373492e-02, -3.362431e-02
-3.794457600000e-02, -2.456806e-02, -3.345929e-02
-3.785878400000e-02, -2.833195e-02, -3.353352e-02
-3.777299200000e-02, -3.261031e-02, -3.370380e-02
-3.768720000000e-02, -3.231507e-02, -3.376231e-02
-3.760140800000e-02, -3.233414e-02, -3.369771e-02
-3.751561600000e-02, -2.286805e-02, -3.363103e-02
-3.742982400000e-02, -2.517905e-02, -3.353651e-02
-3.734403200000e-02, -2.630025e-02, -3.373270e-02
-3.725824000000e-02, -2.488494e-02, -3.369350e-02
-3.717244800000e-02, -2.075463e-02, 4.438476e-01
-3.708665600000e-02, -3.448998e-03, 2.018111e+00
-3.700086400000e-02, -9.080881e-03, 3.945373e+00
-3.691507200000e-02, -2.426598e-02, 4.956906e+00
-3.682928000000e-02, -2.815372e-02, 4.956562e+00
-3.674348800000e-02, -3.018713e-02, 4.956918e+00
-3.665769600000e-02, -2.937883e-02, 4.957248e+00
-3.657190400000e-02, -3.171803e-02, 4.957281e+00
-3.648611200000e-02, -2.493078e-02, 4.957529e+00
-3.640032000000e-02, -1.947542e-02, 4.957378e+00
-3.631452800000e-02, -2.763070e-02, 4.957547e+00
-3.622873600000e-02, -2.282192e-02, 4.957233e+00
-3.614294400000e-02, -2.632872e-02, 4.957277e+00
-3.605715200000e-02, -1.871638e-02, 4.957519e+00
-3.597136000000e-02, -2.792196e-02, 4.957441e+00
-3.588556800000e-02, -2.997758e-02, 4.957464e+00
-3.579977600000e-02, -3.442734e-02, 4.957309e+00
-3.571398400000e-02, -3.174166e-02, 4.957519e+00
-3.562819200000e-02, -3.118732e-02, 4.957438e+00
-3.554240000000e-02, -4.301197e-02, 4.957574e+00
-3.545660800000e-02, -5.102575e-02, 4.957440e+00
-3.537081600000e-02, -5.235052e-02, 4.957325e+00
-3.528502400000e-02, -4.774018e-02, 4.957257e+00
-3.519923200000e-02, -4.042764e-02, 4.957233e+00
-3.511344000000e-02, -3.575809e-02, 4.957361e+00
-3.502764800000e-02, -3.405750e-02, 4.957127e+00
-3.494185600000e-02, -3.351086e-02, 4.957306e+00
-3.485606400000e-02, -3.400568e-02, 4.957416e+00
-3.477027200000e-02, -3.415089e-02, 4.957447e+00
-3.468448000000e-02, -3.608664e-02, 4.957327e+00
-3.459868800000e-02, -2.897967e-02, 4.957492e+00
-3.451289600000e-02, -2.805777e-02, 4.957210e+00
-3.442710400000e-02, -2.978825e-02, 4.957267e+00
-3.434131200000e-02, -3.879169e-02, 4.957283e+00
-3.425552000000e-02, -5.018500e-02, 4.957107e+00
-3.416972800000e-02, -5.151546e-02, 4.957207e+00
-3.408393600000e-02, -5.253074e-02, 4.957296e+00
-3.399814400000e-02, -4.850833e-02, 4.957329e+00
-3.391235200000e-02, -3.789086e-02, 4.957351e+00
-3.382656000000e-02, -4.270021e-02, 4.957260e+00
-3.374076800000e-02, -4.849068e-02, 4.957386e+00
-3.365497600000e-02, -4.459468e-02, 4.957386e+00
-3.356918400000e-02, -4.176977e-02, 4.957299e+00
-3.348339200000e-02, -4.242034e-02, 4.957335e+00
-3.339760000000e-02, -4.136975e-02, 4.957401e+00
-3.331180800000e-02, -4.110668e-02, 4.957206e+00
-3.322601600000e-02, -3.982178e-02, 4.957326e+00
-3.314022400000e-02, -4.469462e-02, 4.957342e+00
-3.305443200000e-02, -6.180152e-02, 4.957407e+00
-3.296864000000e-02, -5.754138e-02, 4.957377e+00
-3.288284800000e-02, -5.665137e-02, 4.957230e+00
-3.279705600000e-02, -5.777855e-02, 4.957267e+00
-3.271126400000e-02, -6.052117e-02, 4.957320e+00
-3.262547200000e-02, -6.057897e-02, 4.957279e+00
-3.253968000000e-02, -6.392348e-02, 4.957407e+00
-3.245388800000e-02, -5.680028e-02, 4.957131e+00
-3.236809600000e-02, -5.032280e-02, 4.957228e+00
-3.228230400000e-02, -6.077400e-02, 4.957266e+00
-3.219651200000e-02, -6.508596e-02, 4.957327e+00
-3.211072000000e-02, -6.240255e-02, 4.957292e+00
-3.202492800000e-02, -6.450059e-02, 4.957457e+00
-3.193913600000e-02, -6.342694e-02, 4.957055e+00
-3.185334400000e-02, -5.943785e-02, 4.957073e+00
-3.176755200000e-02, -5.942674e-02, 4.957088e+00
-3.168176000000e-02, -5.253273e-02, 4.956928e+00
-3.159596800000e-02, -5.891597e-02, 4.957096e+00
-3.151017600000e-02, -7.672127e-02, 4.957095e+00
-3.142438400000e-02, -7.748857e-02, 4.957164e+00
-3.133859200000e-02, -6.954511e-02, 4.957181e+00
-3.125280000000e-02, -6.825622e-02, 4.957133e+00
-3.116700800000e-02, -7.041775e-02, 4.957348e+00
-3.108121600000e-02, -6.608558e-02, 4.957478e+00
-3.099542400000e-02, -6.652290e-02, 4.957196e+00
-3.090963200000e-02, -6.683950e-02, 4.957263e+00
-3.082384000000e-02, -6.783713e-02, 4.957299e+00
-3.073804800000e-02, -7.362959e-02, 4.957182e+00
-3.065225600000e-02, -7.462465e-02, 4.957240e+00
-3.056646400000e-02, -7.727361e-02, 4.957182e+00
-3.048067200000e-02, -7.676142e-02, 4.957266e+00
-3.039488000000e-02, -7.611939e-02, 4.957298e+00
-3.030908800000e-02, -7.225158e-02, 4.957470e+00
-3.022329600000e-02, -7.066204e-02, 4.957211e+00
-3.013750400000e-02, -7.247138e-02, 4.957322e+00
-3.005171200000e-02, -5.970832e-02, 4.957274e+00
-2.996592000000e-02, -6.576414e-02, 4.957200e+00
-2.988012800000e-02, -7.466821e-02, 4.957285e+00
-2.979433600000e-02, -7.480858e-02, 4.957240e+00
-2.970854400000e-02, -7.048352e-02, 4.957396e+00
-2.962275200000e-02, -7.170977e-02, 4.957203e+00
-2.953696000000e-02, -7.435503e-02, 4.957196e+00
-2.945116800000e-02, -7.895740e-02, 4.957131e+00
-2.936537600000e-02, -8.084959e-02, 4.957185e+00
-2.927958400000e-02, -8.169291e-02, 4.957142e+00
-2.919379200000e-02, -8.103693e-02, 4.957365e+00
-2.910800000000e-02, -8.044986e-02, 4.957253e+00
-2.902220800000e-02, -7.079642e-02, 4.957419e+00
-2.893641600000e-02, -6.322593e-02, 4.957773e+00
-2.885062400000e-02, -5.584336e-02, 4.957378e+00
-2.876483200000e-02, -6.674156e-02, 4.957480e+00
-2.867904000000e-02, -7.607327e-02, 4.957492e+00
-2.859324800000e-02, -8.041598e-02, 4.957491e+00
-2.850745600000e-02, -8.234974e-02, 4.957441e+00
-2.842166400000e-02, -7.957237e-02, 4.957378e+00
-2.833587200000e-02, -8.257865e-02, 4.957446e+00
-2.825008000000e-02, -7.770808e-02, 4.957435e+00
-2.816428800000e-02, -7.872820e-02, 4.957407e+00
-2.807849600000e-02, -8.116989e-02, 4.957526e+00
-2.799270400000e-02, -8.860315e-02, 4.957563e+00
-2.790691200000e-02, -8.130114e-02, 4.368513e+00
-2.782112000000e-02, -7.928111e-02, 2.836818e+00
-2.773532800000e-02, -7.958689e-02, 7.973933e-01
-2.764953600000e-02, -8.448194e-02, -3.252982e-02
-2.756374400000e-02, -8.297525e-02, -3.281334e-02
-2.747795200000e-02, -8.024856e-02, -3.283082e-02
-2.739216000000e-02, -8.509180e-02, -3.319289e-02
-2.730636800000e-02, -8.763285e-02, -3.333473e-02
-2.722057600000e-02, -8.738002e-02, -3.339244e-02
-2.713478400000e-02, -8.551089e-02, -3.317105e-02
-2.704899200000e-02, -8.359734e-02, -3.326970e-02
-2.696320000000e-02, -8.330751e-02, -3.344514e-02
-2.687740800000e-02, -8.137972e-02, -3.340859e-02
-2.679161600000e-02, -8.138200e-02, -3.343916e-02
-2.670582400000e-02, -7.802468e-02, -3.331264e-02
-2.662003200000e-02, -7.742223e-02, -3.331489e-02
-2.653424000000e-02, -7.729781e-02, -3.328391e-02
-2.644844800000e-02, -8.075336e-02, -3.331173e-02
-2.636265600000e-02, -7.449881e-02, -3.344033e-02
-2.627686400000e-02, -7.121950e-02, -3.343122e-02
-2.619107200000e-02, -7.792361e-02, -3.342661e-02
-2.610528000000e-02, -7.690035e-02, -3.328534e-02
-2.601948800000e-02, -7.577745e-02, -3.339401e-02
-2.593369600000e-02, -7.723034e-02, -3.342934e-02
-2.584790400000e-02, -7.667059e-02, -3.342279e-02
-2.576211200000e-02, -6.805237e-02, -3.332568e-02
-2.567632000000e-02, -5.540804e-02, -3.316957e-02
-2.559052800000e-02, -6.572513e-02, -3.331793e-02
-2.550473600000e-02, -6.003802e-02, -3.349067e-02
-2.541894400000e-02, -6.344345e-02, -3.339885e-02
-2.533315200000e-02, -6.981701e-02, -3.320556e-02
-2.524736000000e-02, -6.533679e-02, -3.342351e-02
-2.516156800000e-02, -7.035626e-02, -3.332050e-02
-2.507577600000e-02, -7.361222e-02, -3.321165e-02
-2.498998400000e-02, -6.770587e-02, -3.321885e-02
-2.490419200000e-02, -6.688420e-02, -3.317845e-02
-2.481840000000e-02, -5.441610e-02, -3.325991e-02
-2.473260800000e-02, -5.392298e-02, -3.328736e-02
-2.464681600000e-02, -5.277474e-02, -3.327802e-02
-2.456102400000e-02, -4.849011e-02, -3.322216e-02
-2.447523200000e-02, -5.145453e-02, -3.317185e-02
-2.438944000000e-02, -4.642026e-02, -3.325214e-02
-2.430364800000e-02, -5.108440e-02, -3.333129e-02
-2.421785600000e-02, -5.148983e-02, -3.345178e-02
-2.413206400000e-02, -5.748785e-02, -3.350747e-02
-2.404627200000e-02, -5.094860e-02, -3.353984e-02
-2.396048000000e-02, -5.244162e-02, -3.345995e-02
-2.387468800000e-02, -4.739141e-02, -3.352788e-02
-2.378889600000e-02, -5.666760e-02, -3.366545e-02
-2.370310400000e-02, -5.088254e-02, -3.349457e-02
-2.361731200000e-02, -4.788310e-02, -3.354237e-02
-2.353152000000e-02, -4.911875e-02, -3.357526e-02
-2.344572800000e-02, -5.010300e-02, -3.337046e-02
-2.335993600000e-02, -4.738258e-02, -3.350240e-02
-2.327414400000e-02, -4.456109e-02, -3.361068e-02
-2.318835200000e-02, -4.934624e-02, -3.363132e-02
-2.310256000000e-02, -5.368781e-02, -3.359009e-02
-2.301676800000e-02, -5.053462e-02, -3.359428e-02
-2.293097600000e-02, -5.771619e-02, -3.353264e-02
-2.284518400000e-02, -5.856691e-02, -3.354736e-02
-2.275939200000e-02, -5.504275e-02, -3.353602e-02
-2.267360000000e-02, -5.485342e-02, -3.371240e-02
-2.258780800000e-02, -5.683302e-02, -3.356387e-02
-2.250201600000e-02, -5.438592e-02, -3.371089e-02
-2.241622400000e-02, -4.797421e-02, -3.366013e-02
-2.233043200000e-02, -4.897270e-02, -3.357574e-02
-2.224464000000e-02, -5.622914e-02, -3.339532e-02
-2.215884800000e-02, -5.014058e-02, -3.340215e-02
-2.207305600000e-02, -4.387038e-02, -3.334475e-02
-2.198726400000e-02, -5.274086e-02, -3.348876e-02
-2.190147200000e-02, -5.076125e-02, -3.346297e-02
-2.181568000000e-02, -4.766615e-02, -3.348680e-02
-2.172988800000e-02, -4.807557e-02, -3.346906e-02
-2.164409600000e-02, -4.321440e-02, -3.354522e-02
-2.155830400000e-02, -3.833985e-02, -3.351894e-02
-2.147251200000e-02, -3.266384e-02, -3.351803e-02
-2.138672000000e-02, -3.784331e-02, -3.351313e-02
-2.130092800000e-02, -5.208260e-02, -3.349950e-02
-2.121513600000e-02, -4.447767e-02, -3.346704e-02
-2.112934400000e-02, -4.032885e-02, -3.347894e-02
-2.104355200000e-02, -4.243344e-02, -3.354556e-02
-2.095776000000e-02, -4.361926e-02, -3.348913e-02
-2.087196800000e-02, -3.584663e-02, -3.357412e-02
-2.078617600000e-02, -3.603255e-02, -3.347991e-02
-2.070038400000e-02, -4.252141e-02, -3.351701e-02
-2.061459200000e-02, -4.694242e-02, -3.359376e-02
-2.052880000000e-02, -3.642573e-02, -3.353531e-02
-2.044300800000e-02, -3.188999e-02, -3.373165e-02
-2.035721600000e-02, -3.725453e-02, -3.366745e-02
-2.027142400000e-02, -3.129466e-02, -3.352173e-02
-2.018563200000e-02, -2.963650e-02, -3.353585e-02
-2.009984000000e-02, -2.878777e-02, -3.362614e-02
-2.001404800000e-02, -3.397522e-02, -3.360097e-02
-1.992825600000e-02, -3.620195e-02, -3.376542e-02
-1.984246400000e-02, -3.068395e-02, -3.358448e-02
-1.975667200000e-02, -2.768879e-02, -3.349807e-02
-1.967088000000e-02, -2.788837e-02, -3.377794e-02
-1.958508800000e-02, -2.966468e-02, -3.370437e-02
-1.949929600000e-02, -2.233649e-02, -3.372476e-02
-1.941350400000e-02, -2.381500e-02, -3.367098e-02
-1.932771200000e-02, -3.003680e-02, -3.364866e-02
-1.924192000000e-02, -3.388525e-02, -3.367437e-02
-1.915612800000e-02, -3.441482e-02, -3.364057e-02
-1.907033600000e-02, -3.564819e-02, -3.372248e-02
-1.898454400000e-02, -2.954596e-02, -3.369447e-02
-1.889875200000e-02, -2.254490e-02, -3.381592e-02
-1.881296000000e-02, -2.404960e-02, -3.355521e-02
-1.872716800000e-02, -2.577894e-02, -3.354935e-02
-1.864137600000e-02, -2.353029e-02, 1.105902e-01
-1.855558400000e-02, -2.231599e-02, 2.261874e+00
-1.846979200000e-02, -3.070417e-02, 4.943977e+00
-1.838400000000e-02, -2.720164e-02, 4.956642e+00
-1.829820800000e-02, -3.246426e-02, 4.957086e+00
-1.821241600000e-02, -3.000064e-02, 4.957115e+00
-1.812662400000e-02, -3.611369e-02, 4.957195e+00
-1.804083200000e-02, -4.210744e-02, 4.957194e+00
-1.795504000000e-02, -3.922644e-02, 4.957085e+00
-1.786924800000e-02, -3.597475e-02, 4.957163e+00
-1.778345600000e-02, -3.386361e-02, 4.957253e+00
-1.769766400000e-02, -3.088524e-02, 4.957178e+00
-1.761187200000e-02, -3.123971e-02, 4.957463e+00
-1.752608000000e-02, -3.305361e-02, 4.957199e+00
-1.744028800000e-02, -3.141737e-02, 4.957150e+00
-1.735449600000e-02, -3.663984e-02, 4.957327e+00
-1.726870400000e-02, -4.503599e-02, 4.957509e+00
-1.718291200000e-02, -4.513962e-02, 4.957341e+00
-1.709712000000e-02, -4.489961e-02, 4.957478e+00
-1.701132800000e-02, -3.576492e-02, 4.957422e+00
-1.692553600000e-02, -3.317006e-02, 4.957536e+00
-1.683974400000e-02, -3.429979e-02, 4.957473e+00
-1.675395200000e-02, -3.442478e-02, 4.957536e+00
-1.666816000000e-02, -3.608921e-02, 4.957491e+00
-1.658236800000e-02, -3.826839e-02, 4.957432e+00
-1.649657600000e-02, -3.852264e-02, 4.957592e+00
-1.641078400000e-02, -4.085044e-02, 4.957358e+00
-1.632499200000e-02, -4.536312e-02, 4.957528e+00
-1.623920000000e-02, -4.945300e-02, 4.957362e+00
-1.615340800000e-02, -5.071940e-02, 4.957431e+00
-1.606761600000e-02, -4.964006e-02, 4.957701e+00
-1.598182400000e-02, -4.522532e-02, 4.957504e+00
-1.589603200000e-02, -4.692704e-02, 4.957313e+00
-1.581024000000e-02, -4.193861e-02, 4.957414e+00
-1.572444800000e-02, -4.930125e-02, 4.957256e+00
-1.563865600000e-02, -4.729233e-02, 4.957385e+00
-1.555286400000e-02, -4.920388e-02, 4.957414e+00
-1.546707200000e-02, -5.023255e-02, 4.957382e+00
-1.538128000000e-02, -4.702071e-02, 4.957486e+00
-1.529548800000e-02, -3.632238e-02, 4.957046e+00
-1.520969600000e-02, -3.720841e-02, 4.957419e+00
-1.512390400000e-02, -3.499876e-02, 4.957230e+00
-1.503811200000e-02, -4.092788e-02, 4.957147e+00
-1.495232000000e-02, -4.227371e-02, 4.957553e+00
-1.486652800000e-02, -4.200523e-02, 4.957309e+00
-1.478073600000e-02, -5.176116e-02, 4.957390e+00
-1.469494400000e-02, -5.357848e-02, 4.957322e+00
-1.460915200000e-02, -4.717987e-02, 4.957345e+00
-1.452336000000e-02, -4.812909e-02, 4.957463e+00
-1.443756800000e-02, -5.480929e-02, 4.957192e+00
-1.435177600000e-02, -5.884080e-02, 4.957324e+00
-1.426598400000e-02, -5.527422e-02, 4.957444e+00
-1.418019200000e-02, -5.159916e-02, 4.957267e+00
-1.409440000000e-02, -4.735639e-02, 4.957225e+00
