% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 MOhm impedance, 50 x probe attenuation
% Channel B (Input 2), DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 106.4 ms, time offset -3.740 ms, Precision acquisition mode, 40 averages
% Edge trigger: Channel B, level 427.0 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2024-11-14 T 19:30:23 +0100
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-4.945564800000e-02, -2.166536e-01, -3.585204e-02
-4.935126400000e-02, -2.206510e-01, -3.592769e-02
-4.924688000000e-02, -2.236303e-01, -3.579819e-02
-4.914249600000e-02, -2.183838e-01, -3.572949e-02
-4.903811200000e-02, -2.133603e-01, 4.082480e-01
-4.893372800000e-02, -2.046028e-01, 1.801034e+00
-4.882934400000e-02, -1.985793e-01, 2.882411e+00
-4.872496000000e-02, -1.882213e-01, 3.633668e+00
-4.862057600000e-02, -1.852553e-01, 4.751905e+00
-4.851619200000e-02, -1.899737e-01, 4.955212e+00
-4.841180800000e-02, -1.808783e-01, 4.955326e+00
-4.830742400000e-02, -1.781276e-01, 4.955357e+00
-4.820304000000e-02, -1.721571e-01, 4.955113e+00
-4.809865600000e-02, -1.654866e-01, 4.955130e+00
-4.799427200000e-02, -1.592503e-01, 4.955419e+00
-4.788988800000e-02, -1.588958e-01, 4.955462e+00
-4.778550400000e-02, -1.543793e-01, 4.955283e+00
-4.768112000000e-02, -1.550806e-01, 4.955221e+00
-4.757673600000e-02, -1.487626e-01, 4.955421e+00
-4.747235200000e-02, -1.518855e-01, 4.955450e+00
-4.736796800000e-02, -1.418654e-01, 4.955457e+00
-4.726358400000e-02, -1.346680e-01, 4.955360e+00
-4.715920000000e-02, -1.332932e-01, 4.955278e+00
-4.705481600000e-02, -1.351144e-01, 4.955344e+00
-4.695043200000e-02, -1.289869e-01, 4.955407e+00
-4.684604800000e-02, -1.249976e-01, 4.955290e+00
-4.674166400000e-02, -1.162359e-01, 4.955288e+00
-4.663728000000e-02, -1.239470e-01, 4.955377e+00
-4.653289600000e-02, -1.166185e-01, 4.955406e+00
-4.642851200000e-02, -1.170657e-01, 4.955293e+00
-4.632412800000e-02, -1.136736e-01, 4.955228e+00
-4.621974400000e-02, -1.046627e-01, 4.955236e+00
-4.611536000000e-02, -9.143764e-02, 4.955165e+00
-4.601097600000e-02, -1.028300e-01, 4.955209e+00
-4.590659200000e-02, -9.800722e-02, 4.955220e+00
-4.580220800000e-02, -1.001935e-01, 4.955314e+00
-4.569782400000e-02, -9.173622e-02, 4.955217e+00
-4.559344000000e-02, -1.021219e-01, 4.955422e+00
-4.548905600000e-02, -8.638297e-02, 4.955424e+00
-4.538467200000e-02, -7.983492e-02, 4.955161e+00
-4.528028800000e-02, -7.830127e-02, 4.955234e+00
-4.517590400000e-02, -8.046976e-02, 4.955138e+00
-4.507152000000e-02, -7.603123e-02, 4.955136e+00
-4.496713600000e-02, -7.263563e-02, 4.954952e+00
-4.486275200000e-02, -6.552714e-02, 4.955132e+00
-4.475836800000e-02, -6.170473e-02, 4.955148e+00
-4.465398400000e-02, -6.696040e-02, 4.955143e+00
-4.454960000000e-02, -6.549742e-02, 4.955001e+00
-4.444521600000e-02, -6.341224e-02, 4.955146e+00
-4.434083200000e-02, -6.310663e-02, 4.955171e+00
-4.423644800000e-02, -7.205227e-02, 4.954983e+00
-4.413206400000e-02, -5.897230e-02, 4.955084e+00
-4.402768000000e-02, -6.210090e-02, 4.954967e+00
-4.392329600000e-02, -6.138719e-02, 4.955113e+00
-4.381891200000e-02, -5.345572e-02, 4.955062e+00
-4.371452800000e-02, -4.254611e-02, 4.955096e+00
-4.361014400000e-02, -4.914074e-02, 4.955249e+00
-4.350576000000e-02, -5.274131e-02, 4.955089e+00
-4.340137600000e-02, -5.481433e-02, 4.955030e+00
-4.329699200000e-02, -5.452464e-02, 4.954974e+00
-4.319260800000e-02, -5.805338e-02, 4.954949e+00
-4.308822400000e-02, -4.780435e-02, 4.954986e+00
-4.298384000000e-02, -4.770935e-02, 4.954934e+00
-4.287945600000e-02, -4.445603e-02, 4.954962e+00
-4.277507200000e-02, -4.137517e-02, 4.954972e+00
-4.267068800000e-02, -4.267458e-02, 4.954987e+00
-4.256630400000e-02, -4.713558e-02, 4.954917e+00
-4.246192000000e-02, -4.855854e-02, 4.954899e+00
-4.235753600000e-02, -4.350856e-02, 4.955145e+00
-4.225315200000e-02, -3.532834e-02, 4.955092e+00
-4.214876800000e-02, -3.747858e-02, 4.955004e+00
-4.204438400000e-02, -3.421473e-02, 4.954948e+00
-4.194000000000e-02, -3.494318e-02, 4.954868e+00
-4.183561600000e-02, -3.222572e-02, 4.954948e+00
-4.173123200000e-02, -3.708710e-02, 4.954978e+00
-4.162684800000e-02, -2.893122e-02, 4.954867e+00
-4.152246400000e-02, -2.718557e-02, 4.955098e+00
-4.141808000000e-02, -2.993929e-02, 4.955016e+00
-4.131369600000e-02, -2.596712e-02, 4.955137e+00
-4.120931200000e-02, -2.499087e-02, 4.955142e+00
-4.110492800000e-02, -2.305661e-02, 4.954712e+00
-4.100054400000e-02, -1.524050e-02, 4.954948e+00
-4.089616000000e-02, -1.557044e-02, 4.954952e+00
-4.079177600000e-02, -2.635931e-02, 4.955058e+00
-4.068739200000e-02, -2.892186e-02, 4.955172e+00
-4.058300800000e-02, -2.525155e-02, 4.955046e+00
-4.047862400000e-02, -2.266911e-02, 4.955220e+00
-4.037424000000e-02, -1.735517e-02, 4.955193e+00
-4.026985600000e-02, -1.498661e-02, 4.955009e+00
-4.016547200000e-02, -1.991749e-02, 4.955126e+00
-4.006108800000e-02, -1.611426e-02, 4.955173e+00
-3.995670400000e-02, -1.208102e-02, 4.955344e+00
-3.985232000000e-02, -1.220317e-02, 4.955446e+00
-3.974793600000e-02, -1.809368e-02, 4.955215e+00
-3.964355200000e-02, -1.721852e-02, 4.955247e+00
-3.953916800000e-02, -1.442173e-02, 4.955137e+00
-3.943478400000e-02, -1.185146e-02, 4.955120e+00
-3.933040000000e-02, -1.143681e-02, 4.955427e+00
-3.922601600000e-02, -1.451884e-02, 4.955303e+00
-3.912163200000e-02, -1.269200e-02, 4.955256e+00
-3.901724800000e-02, -2.008456e-02, 4.955047e+00
-3.891286400000e-02, -8.918959e-03, 4.954999e+00
-3.880848000000e-02, -9.256856e-03, 4.955122e+00
-3.870409600000e-02, -1.711158e-02, 4.955319e+00
-3.859971200000e-02, -1.565632e-02, 4.955299e+00
-3.849532800000e-02, -2.188661e-02, 4.955158e+00
-3.839094400000e-02, -1.977732e-02, 4.955384e+00
-3.828656000000e-02, -1.498193e-02, 4.955278e+00
-3.818217600000e-02, -5.349503e-03, 4.955093e+00
-3.807779200000e-02, -1.755478e-03, 4.955296e+00
-3.797340800000e-02, -2.810355e-03, 4.955315e+00
-3.786902400000e-02, -8.780196e-03, 4.955182e+00
-3.776464000000e-02, -7.198113e-03, 4.955323e+00
-3.766025600000e-02, -2.499602e-03, 4.955340e+00
-3.755587200000e-02, -9.563632e-04, 4.955345e+00
-3.745148800000e-02, -4.107892e-03, 4.955348e+00
-3.734710400000e-02, -6.421697e-03, 4.955270e+00
-3.724272000000e-02, -7.479149e-03, 4.955329e+00
-3.713833600000e-02, -1.987817e-02, 4.955381e+00
-3.703395200000e-02, -1.998815e-02, 4.955313e+00
-3.692956800000e-02, -2.329553e-02, 4.955201e+00
-3.682518400000e-02, -1.929574e-02, 4.294734e+00
-3.672080000000e-02, -1.382316e-02, 2.917701e+00
-3.661641600000e-02, -2.208527e-02, 1.847614e+00
-3.651203200000e-02, -2.410541e-02, 1.175683e+00
-3.640764800000e-02, -2.947503e-02, 1.614344e-02
-3.630326400000e-02, -4.378047e-02, -3.535785e-02
-3.619888000000e-02, -4.693106e-02, -3.548903e-02
-3.609449600000e-02, -5.998506e-02, -3.551536e-02
-3.599011200000e-02, -7.125783e-02, -3.559159e-02
-3.588572800000e-02, -7.103319e-02, -3.561937e-02
-3.578134400000e-02, -6.825185e-02, -3.566376e-02
-3.567696000000e-02, -6.637797e-02, -3.566023e-02
-3.557257600000e-02, -7.082306e-02, -3.570576e-02
-3.546819200000e-02, -8.152932e-02, -3.562325e-02
-3.536380800000e-02, -9.025148e-02, -3.566776e-02
-3.525942400000e-02, -1.025059e-01, -3.561399e-02
-3.515504000000e-02, -1.035320e-01, -3.564006e-02
-3.505065600000e-02, -1.037056e-01, -3.569659e-02
-3.494627200000e-02, -1.053361e-01, -3.580369e-02
-3.484188800000e-02, -1.053708e-01, -3.591419e-02
-3.473750400000e-02, -1.078063e-01, -3.595535e-02
-3.463312000000e-02, -1.092035e-01, -3.582393e-02
-3.452873600000e-02, -1.167357e-01, -3.572942e-02
-3.442435200000e-02, -1.252857e-01, -3.584193e-02
-3.431996800000e-02, -1.297624e-01, -3.585101e-02
-3.421558400000e-02, -1.239582e-01, -3.577646e-02
-3.411120000000e-02, -1.247898e-01, -3.573649e-02
-3.400681600000e-02, -1.294352e-01, -3.584399e-02
-3.390243200000e-02, -1.272043e-01, -3.586325e-02
-3.379804800000e-02, -1.324457e-01, -3.587532e-02
-3.369366400000e-02, -1.455429e-01, -3.575696e-02
-3.358928000000e-02, -1.438359e-01, -3.586734e-02
-3.348489600000e-02, -1.428419e-01, -3.584169e-02
-3.338051200000e-02, -1.401927e-01, -3.593738e-02
-3.327612800000e-02, -1.445749e-01, -3.579663e-02
-3.317174400000e-02, -1.473267e-01, -3.584324e-02
-3.306736000000e-02, -1.518125e-01, -3.571962e-02
-3.296297600000e-02, -1.556843e-01, -3.572373e-02
-3.285859200000e-02, -1.608518e-01, -3.569498e-02
-3.275420800000e-02, -1.597585e-01, -3.553389e-02
-3.264982400000e-02, -1.667743e-01, -3.568197e-02
-3.254544000000e-02, -1.751694e-01, -3.576239e-02
-3.244105600000e-02, -1.749642e-01, -3.580952e-02
-3.233667200000e-02, -1.705916e-01, -3.592872e-02
-3.223228800000e-02, -1.831001e-01, -3.592867e-02
-3.212790400000e-02, -1.767908e-01, -3.587939e-02
-3.202352000000e-02, -1.716037e-01, -3.578427e-02
-3.191913600000e-02, -1.708921e-01, -3.575806e-02
-3.181475200000e-02, -1.694012e-01, -3.587827e-02
-3.171036800000e-02, -1.686513e-01, -3.596689e-02
-3.160598400000e-02, -1.699671e-01, -3.590590e-02
-3.150160000000e-02, -1.635514e-01, -3.582159e-02
-3.139721600000e-02, -1.710814e-01, -3.579291e-02
-3.129283200000e-02, -1.801124e-01, -3.589442e-02
-3.118844800000e-02, -1.888170e-01, -3.569245e-02
-3.108406400000e-02, -1.954688e-01, -3.582124e-02
-3.097968000000e-02, -1.896620e-01, -3.584474e-02
-3.087529600000e-02, -1.894177e-01, -3.573080e-02
-3.077091200000e-02, -1.858370e-01, -3.572671e-02
-3.066652800000e-02, -1.885224e-01, -3.578832e-02
-3.056214400000e-02, -1.920011e-01, -3.579625e-02
-3.045776000000e-02, -1.963310e-01, -3.574503e-02
-3.035337600000e-02, -1.950153e-01, -3.584427e-02
-3.024899200000e-02, -1.826275e-01, -3.576948e-02
-3.014460800000e-02, -1.788395e-01, -3.573157e-02
-3.004022400000e-02, -1.767791e-01, -3.571707e-02
-2.993584000000e-02, -1.860350e-01, -3.584181e-02
-2.983145600000e-02, -1.947263e-01, -3.587202e-02
-2.972707200000e-02, -1.958595e-01, -3.571641e-02
-2.962268800000e-02, -1.883394e-01, -3.562655e-02
-2.951830400000e-02, -1.861351e-01, -3.571969e-02
-2.941392000000e-02, -1.926788e-01, -3.568994e-02
-2.930953600000e-02, -1.995832e-01, -3.574880e-02
-2.920515200000e-02, -1.986011e-01, -3.573272e-02
-2.910076800000e-02, -1.967146e-01, -3.568615e-02
-2.899638400000e-02, -1.927405e-01, -3.567443e-02
-2.889200000000e-02, -2.019445e-01, -3.579370e-02
-2.878761600000e-02, -2.002803e-01, -3.578645e-02
-2.868323200000e-02, -1.989453e-01, -3.586718e-02
-2.857884800000e-02, -2.093233e-01, -3.577524e-02
-2.847446400000e-02, -2.096490e-01, -3.583999e-02
-2.837008000000e-02, -2.115187e-01, -3.568889e-02
-2.826569600000e-02, -2.144107e-01, -3.584333e-02
-2.816131200000e-02, -2.090146e-01, -3.585665e-02
-2.805692800000e-02, -2.015621e-01, -3.587132e-02
-2.795254400000e-02, -1.973150e-01, -3.587925e-02
